id;title;subtitle;publish_date;published_by;status;approved_by;approved_date;authors;jumbotron_alt_text;jhi_body
1;of psst;shyly;2024-06-20T23:53:39;beneath;PUBLISHED;landscape barring beneath;2024-06-21T02:23:15;the;presell fishing;../fake-data/blob/hipster.txt
2;judgementally till why;judicious yowza foot;2024-06-20T19:58:40;scale after fooey;PUBLISHED;next despite tool;2024-06-20T13:54:28;joyously;wet;../fake-data/blob/hipster.txt
3;oh redhead mountainous;anti meanwhile quiet;2024-06-20T16:32:57;at;READY;well-groomed practice;2024-06-20T19:05:45;disable;west;../fake-data/blob/hipster.txt
4;below hmph;oh unlike;2024-06-20T19:21:51;painfully dragonfly;READY;snappy;2024-06-20T16:45:13;storyboard decimal;before;../fake-data/blob/hipster.txt
5;surprisingly tenderly;whose;2024-06-21T09:02:31;delightful;IN_REVIEW;cleverly;2024-06-21T05:32:26;jovial unrealistic;fluid frenzy;../fake-data/blob/hipster.txt
6;willfully absentmindedly failing;or skin;2024-06-20T19:30:19;gadzooks indeed;DRAFT;fillet unabashedly ah;2024-06-21T01:56:20;matrix boo notwithstanding;into;../fake-data/blob/hipster.txt
7;abnormally equal mid;reappraise impure;2024-06-21T09:06:11;good-natured drat;DRAFT;stiff coliseum while;2024-06-21T07:43:56;hardening concerning ringed;nearly so;../fake-data/blob/hipster.txt
8;volunteer although but;meh;2024-06-20T18:32:06;so abaft;IN_REVIEW;within yippee;2024-06-20T17:50:21;sans;near;../fake-data/blob/hipster.txt
9;fooey;hence yippee outstrip;2024-06-21T02:24:22;bumper;PUBLISHED;mercerize pulp storyboard;2024-06-20T12:39:06;but;thrash;../fake-data/blob/hipster.txt
10;woot for;boo;2024-06-20T13:16:03;consequently outstanding;DRAFT;unloosen;2024-06-21T03:18:33;whereas;meh yet versus;../fake-data/blob/hipster.txt
