id;name;github_username;about_you;location;website;publish_date;published_by;status;approved_by;approved_date
1;leafy beckon;eek;../fake-data/blob/hipster.txt;misguided ugh modulo;since cash;2024-06-20T22:28:25;yuck excluding realization;DRAFT;forenenst;2024-06-21T09:18:58
2;merrily wherever stimulate;scribble whereas plus;../fake-data/blob/hipster.txt;bravely sluice;now adept whoosh;2024-06-20T15:58:24;right;IN_REVIEW;after why;2024-06-21T01:33:40
3;to;top meaningfully astride;../fake-data/blob/hipster.txt;until unrealistic icy;worth instead;2024-06-20T18:32:47;obnoxiously muffled since;PUBLISHED;nervously;2024-06-20T20:38:38
4;nor;tug men hm;../fake-data/blob/hipster.txt;besides blank despite;silkworm eventually inasmuch;2024-06-21T06:03:25;trifle however encompass;IN_REVIEW;subway;2024-06-20T17:14:53
5;united;drat;../fake-data/blob/hipster.txt;ah when hurricane;gah how seriously;2024-06-21T05:44:26;under whoa;DRAFT;fully replenish;2024-06-21T04:54:14
6;brr amidst counterfeit;commonly;../fake-data/blob/hipster.txt;what repeatedly tangible;who;2024-06-20T19:03:51;without;READY;that loudly queasily;2024-06-21T09:26:37
7;glamorous yuck;overconfidently generally;../fake-data/blob/hipster.txt;gutter triad via;phew um automaton;2024-06-20T23:36:03;off satisfied;IN_REVIEW;because line;2024-06-20T10:49:34
8;eek oof acrobatic;tightly bleakly psst;../fake-data/blob/hipster.txt;willfully who because;blank woozy;2024-06-20T23:07:54;rapid lonely fasten;PUBLISHED;shed;2024-06-20T19:18:17
9;unfit scout buggy;gleefully and scarcely;../fake-data/blob/hipster.txt;disposition optimistically tightly;anti;2024-06-20T14:38:18;following hence joshingly;DRAFT;apud;2024-06-20T12:20:37
10;scale beside patter;skewer zowie;../fake-data/blob/hipster.txt;for;inwardly delimit ugh;2024-06-21T02:40:43;fast catalysis memorable;PUBLISHED;ah snip;2024-06-21T01:12:03
